Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Decisao
67,male,2,own,unknown,little,1169,6,radio/TV,Aprovado
22,female,2,own,little,moderate,5951,48,radio/TV,Negado
49,male,1,own,little,unknown,2096,12,education,Aprovado
45,male,2,free,little,little,7882,42,furniture/equipment,Negado
53,male,2,free,little,little,4870,24,car,Aprovado
35,male,1,free,unknown,unknown,9055,36,education,Negado
53,male,2,own,quite rich,unknown,2835,24,furniture/equipment,Aprovado
35,male,3,rent,little,moderate,6948,36,car,Negado
61,male,1,own,rich,unknown,3059,12,radio/TV,Aprovado
28,male,3,own,little,moderate,5234,30,car,Negado
25,female,2,rent,little,moderate,1295,12,car,Aprovado
24,female,2,rent,little,little,4308,48,business,Negado
22,female,2,own,little,moderate,1567,12,radio/TV,Aprovado
60,male,1,own,little,little,1199,24,car,Aprovado
28,female,2,rent,little,little,1403,15,car,Aprovado
32,female,1,own,moderate,little,1282,24,radio/TV,Aprovado
53,male,2,own,unknown,unknown,2424,24,radio/TV,Aprovado
25,male,2,own,unknown,little,8072,30,business,Negado
44,female,3,free,little,moderate,12579,24,car,Negado
31,male,2,own,quite rich,unknown,3430,24,radio/TV,Aprovado
48,male,2,own,little,unknown,2134,9,car,Aprovado
44,male,2,rent,quite rich,little,2647,6,radio/TV,Aprovado
48,male,1,rent,little,little,2241,10,car,Aprovado
44,male,2,own,moderate,moderate,1804,12,car,Aprovado
26,male,2,own,unknown,unknown,2069,10,furniture/equipment,Aprovado
36,male,1,own,little,little,1374,6,furniture/equipment,Aprovado
39,male,1,own,little,unknown,426,6,radio/TV,Aprovado
42,female,2,rent,rich,rich,409,12,radio/TV,Aprovado
34,male,2,own,little,moderate,2415,7,radio/TV,Aprovado
63,male,2,own,little,little,6836,60,business,Negado
36,male,2,own,rich,moderate,1913,18,business,Aprovado
27,male,2,own,little,little,4020,24,furniture/equipment,Aprovado
30,male,2,own,moderate,moderate,5866,18,car,Aprovado
57,male,1,rent,unknown,unknown,1264,12,business,Aprovado
33,female,3,own,little,rich,1474,12,furniture/equipment,Aprovado
25,male,1,own,little,moderate,4746,45,radio/TV,Aprovado
31,male,2,free,little,unknown,6110,48,education,Negado
37,male,2,own,little,rich,2100,18,radio/TV,Aprovado
37,male,2,own,little,rich,1225,10,domestic appliances,Aprovado
24,male,2,own,little,moderate,458,9,radio/TV,Aprovado
30,male,3,own,quite rich,unknown,2333,30,radio/TV,Aprovado
26,male,2,own,quite rich,moderate,1158,12,radio/TV,Aprovado
44,male,1,own,little,moderate,6204,18,repairs,Negado
24,male,2,rent,moderate,little,6187,30,car,Negado
58,female,1,free,little,little,6143,48,car,Negado
35,female,3,own,little,unknown,1393,11,car,Aprovado
39,male,2,own,quite rich,unknown,2299,36,radio/TV,Aprovado
23,female,0,rent,quite rich,little,1352,6,car,Aprovado
39,male,1,own,little,unknown,7228,11,car,Negado
28,female,2,own,moderate,unknown,2073,12,radio/TV,Aprovado
29,male,1,own,unknown,moderate,2333,24,furniture/equipment,Aprovado
30,male,3,own,little,moderate,5965,27,car,Negado
25,male,2,own,little,unknown,1262,12,radio/TV,Aprovado
31,male,2,own,unknown,unknown,3378,18,car,Aprovado
57,male,2,free,little,moderate,2225,36,car,Aprovado
26,male,1,own,unknown,unknown,783,6,car,Aprovado
52,male,3,own,unknown,moderate,6468,12,radio/TV,Negado
31,female,2,own,little,unknown,9566,36,radio/TV,Negado
23,female,3,own,little,rich,1961,18,car,Aprovado
23,female,1,rent,little,little,6229,36,furniture/equipment,Negado
27,male,2,own,little,moderate,1391,9,business,Aprovado
